dataset,seed,mae,r2,pearson
MM-TBA,0,0.7611300977190575,-0.012861303600530408,0.0
MM-TBA,1,0.9106664747260197,-0.25387823207619625,0.0
MM-TBA,2,0.76308231699851,0.06702965558546123,0.0
MM-TBA,3,0.8605907953638474,0.10110456923189434,0.0
MM-TBA,4,0.7116122724386943,-0.41717007405165396,0.0
MM-TBA,5,0.7765282204153615,-0.3008727099397391,0.0
MM-TBA,6,0.7101498519258809,-0.044563717307019454,0.0
MM-TBA,7,0.7646184203057018,-0.12415873862553714,0.0
MM-TBA,8,0.8697545679773209,-0.07048848412218087,0.0
MM-TBA,9,0.6408551006639526,-0.22037209097938745,0.0
MM-TBA,10,0.8335706954846435,0.09014137508766609,0.0
MM-TBA,11,0.8160363104296239,0.07193006108424138,0.0
MM-TBA,12,0.7418752093978014,-0.05564215283627627,0.0
MM-TBA,13,0.6659291527137978,0.13456344830929498,0.0
MM-TBA,14,0.8012728250007157,0.016316696311583404,0.0
MM-TBA,15,0.7476392866241801,-0.22149204447053522,0.0
MM-TBA,16,0.8155852748252358,-0.0013842506338142824,0.0
MM-TBA,17,0.796790688604633,-0.2393420392531275,0.0
MM-TBA,18,0.9376383158859208,0.0899715192327471,0.0
MM-TBA,19,0.773504485524748,-0.07642558481331295,0.0
MM-TBA,20,0.7035996488277841,-0.10061086082399173,0.0
MM-TBA,21,0.8108247095008165,-0.18952324484905717,0.0
MM-TBA,22,0.8144549177680587,0.15164452570130418,0.0
MM-TBA,23,0.9160117364512308,-0.09517416008972168,0.0
MM-TBA,24,0.8692912744448891,-0.14424828573083204,0.0
MM-TBA,25,0.8266570220938914,-0.13059163879857544,0.0
MM-TBA,26,0.9252934295792874,0.02793106786181676,0.0
MM-TBA,27,0.6888665212958847,-0.001976929095143923,0.0
MM-TBA,28,0.7378099108355245,0.00649881296905204,0.0
MM-TBA,29,0.7122400307679942,0.009740877886199248,0.0
MM-TBA,30,0.7600917664123943,0.3163801342993095,0.0
MM-TBA,31,0.6721135155861593,-0.14032075357869206,0.0
MM-TBA,32,0.8514651734856953,-0.15928873733973511,0.0
MM-TBA,33,0.7750318554474407,-0.21333333475784566,0.0
MM-TBA,34,0.6637228737972147,0.042927666170747586,0.0
MM-TBA,35,0.7043055609610595,0.1348737187064861,0.0
MM-TBA,36,0.8227918046655363,-0.08790045870725999,0.0
MM-TBA,37,0.8695600849751709,-0.21806221441014845,0.0
MM-TBA,38,0.9728475762457467,-0.215252665817489,0.0
MM-TBA,39,1.0546082062817264,0.049131577540393184,0.0
MM-TBA,40,0.8317864646423484,0.06573970003098684,0.0
MM-TBA,41,0.7066270658051761,0.029874881521786467,0.0
MM-TBA,42,0.6047745185196368,-0.18675947709320279,0.0
MM-TBA,43,0.8187086044265287,-0.025865802891695586,0.0
MM-TBA,44,0.7223703728813587,-0.046563006084834185,0.0
MM-TBA,45,0.7578142565756498,-0.0282805810996175,0.0
MM-TBA,46,0.7402752805962964,0.08871301956690936,0.0
MM-TBA,47,0.7822913548833111,-0.027401085697559405,0.0
MM-TBA,48,0.8898728291395642,0.054207639295390436,0.0
MM-TBA,49,0.8088432064161523,-0.05536463107156528,0.0
MM-TBA,50,0.7807005987845483,-0.015656947138774677,0.0
MM-TBA,51,0.7025159400983167,0.045671532822703684,0.0
MM-TBA,52,0.6455476371823854,-0.3286498215636156,0.0
MM-TBA,53,0.7514891338588409,-0.12477326654987528,0.0
MM-TBA,54,0.790047991483887,-0.15178417281393505,0.0
MM-TBA,55,0.9524503806337227,-0.18198612749437829,0.0
MM-TBA,56,0.8064563483811378,-0.11679213697569345,0.0
MM-TBA,57,0.8824520687130353,0.20046801554955562,0.0
MM-TBA,58,0.7503313047063229,-0.2226639970448688,0.0
MM-TBA,59,0.6892070039422292,0.10607181104403879,0.0
MM-TBA,60,0.7088041859217861,-0.36910556290891877,0.0
MM-TBA,61,0.730190010085657,-0.1275001077762574,0.0
MM-TBA,62,0.9845918569149915,-0.03830616162641462,0.0
MM-TBA,63,0.7216174642680546,0.03759416695173967,0.0
MM-TBA,64,0.8695924133081419,0.05999924870347348,0.0
MM-TBA,65,0.7143482754764323,0.07471810842990145,0.0
MM-TBA,66,0.8778906674457156,-0.129980721693209,0.0
MM-TBA,67,0.8291602952865263,-0.15034655719085252,0.0
MM-TBA,68,0.7808786223380643,0.08630179551702874,0.0
MM-TBA,69,0.791208703262839,-0.10176548294436888,0.0
MM-TBA,70,0.7364694639809621,-0.2961242157872128,0.0
MM-TBA,71,0.8346091434702414,-0.27060137375590737,0.0
MM-TBA,72,0.7542816503313021,-0.23227476403428843,0.0
MM-TBA,73,0.6855820600247148,0.02163125233464544,0.0
MM-TBA,74,0.680916773252881,-0.04194952154832185,0.0
MM-TBA,75,0.8102285115398222,0.056281704189387105,0.0
MM-TBA,76,0.9356157540460981,-0.14405557706217703,0.0
MM-TBA,77,0.8091055736842702,-0.03906134387611761,0.0
MM-TBA,78,0.7842662157847269,0.04465028442129605,0.0
MM-TBA,79,0.8203234953179209,-0.12292272765209908,0.0
MM-TBA,80,0.9112703150669086,0.014392773755121324,0.0
MM-TBA,81,0.8144001644934076,-0.1861171423230638,0.0
MM-TBA,82,0.7582091857227277,-0.1325489332859288,0.0
MM-TBA,83,0.8934662575563652,-0.1358977603493373,0.0
MM-TBA,84,0.8330654743460334,-0.2818129314509956,0.0
MM-TBA,85,0.9317524931787086,0.01980516342733038,0.0
MM-TBA,86,0.8111776296013637,-0.1516102589927223,0.0
MM-TBA,87,0.6856833976418321,-0.06523775810973001,0.0
MM-TBA,88,0.6728736776890536,0.018689280967864028,0.0
MM-TBA,89,0.9420198644696036,0.012556683871227048,0.0
MM-TBA,90,0.9485043074721005,0.051782872746546554,0.0
MM-TBA,91,0.7788387942109951,-0.08512913871847551,0.0
MM-TBA,92,0.7606821487713741,-0.14334682368615442,0.0
MM-TBA,93,0.9251277388238617,-0.08176539464895813,0.0
MM-TBA,94,0.6961514780344329,-0.36990578470957697,0.0
MM-TBA,95,0.7150793049118354,-0.326849706582663,0.0
MM-TBA,96,0.8521940356163092,-0.3045506220656509,0.0
MM-TBA,97,0.7596642722870275,-0.24621823464608866,0.0
MM-TBA,98,0.7943860039362702,0.00417622252850211,0.0
MM-TBA,99,0.7802719687522368,-0.2297702781565454,0.0
HigherEd,0,2.0389424600058836,0.1307799453540507,0.0
HigherEd,1,1.3895594770779025,0.41587402794118483,0.0
HigherEd,2,1.8669951324904495,0.06496556634985944,0.0
HigherEd,3,1.6295699077363865,0.2124156461248382,0.0
HigherEd,4,1.6827758087956723,-0.5054737119685958,0.0
HigherEd,5,1.4853303608481696,0.02784594994175716,0.0
HigherEd,6,1.6283889179833833,-0.18386456887231,0.0
HigherEd,7,1.9538559859584037,-0.2839446690224478,0.0
HigherEd,8,1.8110071027216326,-0.19317012551816926,0.0
HigherEd,9,2.0399303882432887,-0.04820483197394475,0.0
HigherEd,10,1.9294369658065431,0.2848847793233348,0.0
HigherEd,11,1.7824192670878125,-0.3126110061422825,0.0
HigherEd,12,2.0422447817367706,0.048990010850814364,0.0
HigherEd,13,1.7824006450454952,-0.08818700997679242,0.0
HigherEd,14,1.8598585884960825,-0.04648603301787288,0.0
HigherEd,15,1.6359327450269983,0.30802877219115843,0.0
HigherEd,16,1.7082377280831693,0.1842173037824439,0.0
HigherEd,17,1.5561136278741488,0.3971990798588653,0.0
HigherEd,18,1.8920360573279984,-0.0003427785808899145,0.0
HigherEd,19,1.4603592901285132,-0.14461739351410458,0.0
HigherEd,20,1.8507710356214782,-0.01882304216639718,0.0
HigherEd,21,1.657023856573598,0.10544494134039177,0.0
HigherEd,22,1.9282094118280628,0.08787857799259191,0.0
HigherEd,23,1.8445023668715332,-0.24812495993492872,0.0
HigherEd,24,2.0575198493783975,0.06494021868434863,0.0
HigherEd,25,1.8405011254819252,0.10164287943384533,0.0
HigherEd,26,1.3819571810995097,0.7116493698393392,0.0
HigherEd,27,1.6816549785829695,0.5409433129507115,0.0
HigherEd,28,1.461613055694963,-0.18653271582195768,0.0
HigherEd,29,1.5917853555326325,-0.03575018302452786,0.0
HigherEd,30,1.995907593477355,-0.3491300012570514,0.0
HigherEd,31,1.821934700479805,-0.11657566893393621,0.0
HigherEd,32,1.5558136277686347,0.12492580522168863,0.0
HigherEd,33,1.4931322367483821,0.36214692695273637,0.0
HigherEd,34,1.7015145865927066,-0.15344840843712598,0.0
HigherEd,35,1.452741527148062,-0.13348012857591357,0.0
HigherEd,36,1.5613472923628333,-0.5313520860760725,0.0
HigherEd,37,1.7571152434216726,-0.0025172066630959403,0.0
HigherEd,38,1.9250363717771115,-0.2422697232503358,0.0
HigherEd,39,1.8162054595424375,-0.1002499310041136,0.0
HigherEd,40,1.2387379485255225,-0.19282596083340048,0.0
HigherEd,41,1.7555933958644672,0.01570997501038193,0.0
HigherEd,42,1.7093304680427157,-0.42754736251498665,0.0
HigherEd,43,1.7774020798831347,-0.3500901436949487,0.0
HigherEd,44,2.0168117984734577,0.6082000356138385,0.0
HigherEd,45,1.2841482458199167,-0.30222678390734653,0.0
HigherEd,46,1.5772844886874358,-0.2514284756892182,0.0
HigherEd,47,1.8126500845614504,0.5303030310027964,0.0
HigherEd,48,1.3800547291505705,0.8149298194711929,0.0
HigherEd,49,1.988882648429914,-0.2713550942859511,0.0
HigherEd,50,1.7683352680238753,-0.05729812686771492,0.0
HigherEd,51,1.8635614460100882,0.13184074766847015,0.0
HigherEd,52,1.581298765893523,0.5014671610302914,0.0
HigherEd,53,1.8570261627697688,-0.22213625149500899,0.0
HigherEd,54,1.9077444151043932,-0.024530488380475238,0.0
HigherEd,55,1.7413583334247726,0.24796190620872005,0.0
HigherEd,56,1.7416615727241906,0.1566781970262858,0.0
HigherEd,57,1.7488185287772606,-0.0594051052119179,0.0
HigherEd,58,1.523074814954728,0.005168464788969339,0.0
HigherEd,59,1.6656105235090797,-0.3255354379731272,0.0
HigherEd,60,1.6646161315393098,-0.022637485678910788,0.0
HigherEd,61,1.771329534104686,-0.030155493966082983,0.0
HigherEd,62,1.8940751413661543,0.10269317161604159,0.0
HigherEd,63,1.4842077894611245,-0.10714815112856167,0.0
HigherEd,64,1.6700947088819291,0.1664768096974969,0.0
HigherEd,65,1.9899791204032036,0.31068224011994994,0.0
HigherEd,66,1.5469212224560913,0.08224440951051579,0.0
HigherEd,67,1.5312578332588762,0.13455893088375526,0.0
HigherEd,68,1.735270772304009,0.054991855774875094,0.0
HigherEd,69,1.8631236147819255,0.04085024284788628,0.0
HigherEd,70,1.697262103517279,-0.15144303636493844,0.0
HigherEd,71,1.9596138323541523,0.12516276239955007,0.0
HigherEd,72,1.8655944935096604,0.014904169604923394,0.0
HigherEd,73,1.8626128390928773,0.5985862558502392,0.0
HigherEd,74,1.805324376573867,0.46007357863378723,0.0
HigherEd,75,2.158476708138794,0.14364280035553584,0.0
HigherEd,76,1.6541344528249515,-0.16250116206869192,0.0
HigherEd,77,1.2960390854302357,-0.2555922473805438,0.0
HigherEd,78,2.014431216543387,0.3582270319380483,0.0
HigherEd,79,1.6038483225716025,0.11084152942655026,0.0
HigherEd,80,1.7164684127115462,0.16876971916918782,0.0
HigherEd,81,1.9557488693116287,-0.4240453566154348,0.0
HigherEd,82,1.37593981945886,0.28795871663094386,0.0
HigherEd,83,1.445754877578924,0.16191539302125318,0.0
HigherEd,84,1.3761352796034663,-0.255064434542776,0.0
HigherEd,85,1.536855929366988,-0.08481764519744751,0.0
HigherEd,86,1.782528770344311,0.11109946311990289,0.0
HigherEd,87,1.7993648854984008,0.05480838071459767,0.0
HigherEd,88,1.749999516701087,-0.03702597612120484,0.0
HigherEd,89,1.41367240805164,0.013251634568104145,0.0
HigherEd,90,1.2349916584546223,-0.026315686950900682,0.0
HigherEd,91,1.7058099718026303,0.08148050020344368,0.0
HigherEd,92,1.601045344014391,0.43293055597131536,0.0
HigherEd,93,1.786461287957496,-0.6430998385688111,0.0
HigherEd,94,1.8347621820175684,-0.022284823201069795,0.0
HigherEd,95,1.7225139905734905,0.08786234032314585,0.0
HigherEd,96,1.8463470636946409,0.1197001338462808,0.0
HigherEd,97,1.7406282190350035,-0.05827489172500157,0.0
HigherEd,98,1.8005351053840573,-0.42727913532254247,0.0
HigherEd,99,1.5546700960699802,0.12822744875882566,0.0
xAPI-Edu,0,0.39720001945069977,0.5867474654131971,0.0
xAPI-Edu,1,0.385506646915469,0.6123789580499532,0.0
xAPI-Edu,2,0.3452211797446184,0.6548556716970442,0.0
xAPI-Edu,3,0.3256849588386988,0.5721655115156266,0.0
xAPI-Edu,4,0.2892078148679413,0.6344695677900963,0.0
xAPI-Edu,5,0.3496119517812968,0.5808754947849029,0.0
xAPI-Edu,6,0.4235607300356704,0.5909742991693295,0.0
xAPI-Edu,7,0.37402226675623873,0.6554679174155051,0.0
xAPI-Edu,8,0.34921084044817335,0.46325398515964034,0.0
xAPI-Edu,9,0.37477564736973984,0.5106907113977396,0.0
xAPI-Edu,10,0.32422652472495994,0.4980438965130483,0.0
xAPI-Edu,11,0.35575388125468743,0.44006258819672,0.0
xAPI-Edu,12,0.3656539564464095,0.5527898525372357,0.0
xAPI-Edu,13,0.36102383164710067,0.6500142249366597,0.0
xAPI-Edu,14,0.38290242214523545,0.5795785367332462,0.0
xAPI-Edu,15,0.37177082660648125,0.6124480091094048,0.0
xAPI-Edu,16,0.37984657617461753,0.6731530393804765,0.0
xAPI-Edu,17,0.34599731484005397,0.6893924386858423,0.0
xAPI-Edu,18,0.38557227535469396,0.5942705635164536,0.0
xAPI-Edu,19,0.4038135630764998,0.6911561779706847,0.0
xAPI-Edu,20,0.33896704779748343,0.6052524694431212,0.0
xAPI-Edu,21,0.34102424974705925,0.5419530519240525,0.0
xAPI-Edu,22,0.3964994834845574,0.5585008862273664,0.0
xAPI-Edu,23,0.3583980384659771,0.4981561833967163,0.0
xAPI-Edu,24,0.39819698990865815,0.5384980224979321,0.0
xAPI-Edu,25,0.35213087180913505,0.5745983017303127,0.0
xAPI-Edu,26,0.3994750196646793,0.6537018447059822,0.0
xAPI-Edu,27,0.3664525561008456,0.7161609197145201,0.0
xAPI-Edu,28,0.3696147603645786,0.5048540288776687,0.0
xAPI-Edu,29,0.4022113179740315,0.6257297976703925,0.0
xAPI-Edu,30,0.3541459429026092,0.5281190968602552,0.0
xAPI-Edu,31,0.3396912742900946,0.6313050107392094,0.0
xAPI-Edu,32,0.3519804624357934,0.5900519377311148,0.0
xAPI-Edu,33,0.3744576316053016,0.4742964956459389,0.0
xAPI-Edu,34,0.3241067480595933,0.6621945653936382,0.0
xAPI-Edu,35,0.37907674926000645,0.5577790156621888,0.0
xAPI-Edu,36,0.34972981907170547,0.5626208641193553,0.0
xAPI-Edu,37,0.3918096402313888,0.5261300384629275,0.0
xAPI-Edu,38,0.3034358629148684,0.5544229381145003,0.0
xAPI-Edu,39,0.34354741333962774,0.6281175398104657,0.0
xAPI-Edu,40,0.3210950886793765,0.5860914757927115,0.0
xAPI-Edu,41,0.3425578148042639,0.6213602141350607,0.0
xAPI-Edu,42,0.3693512182680191,0.623625166129528,0.0
xAPI-Edu,43,0.358700363402461,0.6889140810921152,0.0
xAPI-Edu,44,0.3568503171069431,0.5756354812101702,0.0
xAPI-Edu,45,0.35920039982982194,0.4984066977193604,0.0
xAPI-Edu,46,0.3682465024289847,0.6716552034562951,0.0
xAPI-Edu,47,0.3380093142877914,0.5764048586509998,0.0
xAPI-Edu,48,0.3808077303052617,0.67488103983553,0.0
xAPI-Edu,49,0.3797053594910869,0.6250862409639864,0.0
xAPI-Edu,50,0.3727786140007217,0.5900484729032616,0.0
xAPI-Edu,51,0.37705738118736865,0.6227299436140535,0.0
xAPI-Edu,52,0.37056757017391617,0.7318401456387676,0.0
xAPI-Edu,53,0.41394655699125144,0.7404183980463499,0.0
xAPI-Edu,54,0.360999043606828,0.603703529330149,0.0
xAPI-Edu,55,0.35551037545538045,0.609887533564982,0.0
xAPI-Edu,56,0.34437170750121626,0.6722692997078821,0.0
xAPI-Edu,57,0.33741734122123374,0.5413903655420662,0.0
xAPI-Edu,58,0.3321227802581198,0.621660418335925,0.0
xAPI-Edu,59,0.34099676368537324,0.5972175398029924,0.0
xAPI-Edu,60,0.3614085632817382,0.6203555004547299,0.0
xAPI-Edu,61,0.3715125944239129,0.5422274499627595,0.0
xAPI-Edu,62,0.3644480007262,0.4907313175277864,0.0
xAPI-Edu,63,0.3440721186566469,0.45781132993501583,0.0
xAPI-Edu,64,0.3856313851562949,0.522886382450502,0.0
xAPI-Edu,65,0.3816201692679207,0.5677435841520885,0.0
xAPI-Edu,66,0.359188837223978,0.5790128055689572,0.0
xAPI-Edu,67,0.34688193603113804,0.7309016506469149,0.0
xAPI-Edu,68,0.37685515057375013,0.6742954542011846,0.0
xAPI-Edu,69,0.3678619109378782,0.5334616305371279,0.0
xAPI-Edu,70,0.3270416304653297,0.6226572522504226,0.0
xAPI-Edu,71,0.3614759306981624,0.5712572750534454,0.0
xAPI-Edu,72,0.3697097437202158,0.5796139635966733,0.0
xAPI-Edu,73,0.3407248746293724,0.6115991977072703,0.0
xAPI-Edu,74,0.3679085620835061,0.6411435013767107,0.0
xAPI-Edu,75,0.32687458636334454,0.5758757106750502,0.0
xAPI-Edu,76,0.39650950738169044,0.6714256507164836,0.0
xAPI-Edu,77,0.3943080398089544,0.5212142797559645,0.0
xAPI-Edu,78,0.3568717797322756,0.5994104473893419,0.0
xAPI-Edu,79,0.3722401089325243,0.7758769174894906,0.0
xAPI-Edu,80,0.30304510864578377,0.6141702016198631,0.0
xAPI-Edu,81,0.3343214537696316,0.6965787816819627,0.0
xAPI-Edu,82,0.3558423141523908,0.6052111689379013,0.0
xAPI-Edu,83,0.3364225865841473,0.6385289191823452,0.0
xAPI-Edu,84,0.3809960219969075,0.5951119050250357,0.0
xAPI-Edu,85,0.41300403658939644,0.587374234268876,0.0
xAPI-Edu,86,0.33381579604016226,0.5458970433014267,0.0
xAPI-Edu,87,0.34227753104946923,0.6282817201617649,0.0
xAPI-Edu,88,0.3690463940779437,0.5409902070464356,0.0
xAPI-Edu,89,0.40336893888363323,0.6443042416374878,0.0
xAPI-Edu,90,0.332674106376825,0.672885378045446,0.0
xAPI-Edu,91,0.3693854049220494,0.6239390706252679,0.0
xAPI-Edu,92,0.40861294133932846,0.5794856047001031,0.0
xAPI-Edu,93,0.32196106906335126,0.6298932223311589,0.0
xAPI-Edu,94,0.33120968439305015,0.5779585379724013,0.0
xAPI-Edu,95,0.35260314794924313,0.6626882899419015,0.0
xAPI-Edu,96,0.3501834777038184,0.47426242871144153,0.0
xAPI-Edu,97,0.3834462057349485,0.5761243468392379,0.0
xAPI-Edu,98,0.3692013656441947,0.4634070965926518,0.0
xAPI-Edu,99,0.3188871892285758,0.4971670965358659,0.0
EntranceExam,0,0.634561101145386,0.470294185326771,0.0
EntranceExam,1,0.5901943263234054,0.40193436230021795,0.0
EntranceExam,2,0.5645237459764363,0.517769052405249,0.0
EntranceExam,3,0.5963397595389268,0.39880400957075984,0.0
EntranceExam,4,0.632477005438211,0.3982393583377417,0.0
EntranceExam,5,0.5663158576206405,0.47190294909651087,0.0
EntranceExam,6,0.5684519529803915,0.48577537511052526,0.0
EntranceExam,7,0.6164482805041741,0.4660841357367536,0.0
EntranceExam,8,0.5909628737225969,0.3326295200214884,0.0
EntranceExam,9,0.619353813971828,0.4717092328327528,0.0
EntranceExam,10,0.5977546252325323,0.373365187577126,0.0
EntranceExam,11,0.6211238424111294,0.45277285039521065,0.0
EntranceExam,12,0.5643844280823059,0.3490080477623028,0.0
EntranceExam,13,0.5978056604340635,0.4659729776078285,0.0
EntranceExam,14,0.5913172162349785,0.3876075290602195,0.0
EntranceExam,15,0.5584772672309611,0.3578333029019002,0.0
EntranceExam,16,0.5471215869641897,0.48270395986553327,0.0
EntranceExam,17,0.6206039114518599,0.4531711702353813,0.0
EntranceExam,18,0.5867348397539206,0.3996553093036618,0.0
EntranceExam,19,0.5648025337158022,0.5288229441089856,0.0
EntranceExam,20,0.5950582971543024,0.4104960903321372,0.0
EntranceExam,21,0.6350528820628094,0.4400654370102375,0.0
EntranceExam,22,0.523688680936774,0.4548767378881799,0.0
EntranceExam,23,0.5493052278679912,0.39929947567948976,0.0
EntranceExam,24,0.5680497339492484,0.46752500809492675,0.0
EntranceExam,25,0.6459372312629527,0.404691807784809,0.0
EntranceExam,26,0.6074325930503307,0.4123108119434362,0.0
EntranceExam,27,0.6232687475783675,0.5232853408116311,0.0
EntranceExam,28,0.5609513691517294,0.3729725224918613,0.0
EntranceExam,29,0.561625190058439,0.28714698706502756,0.0
EntranceExam,30,0.612830556243184,0.53881520878617,0.0
EntranceExam,31,0.6001042908365933,0.597507995691102,0.0
EntranceExam,32,0.616127782872638,0.4127091722308816,0.0
EntranceExam,33,0.5920692485385632,0.3169153679281159,0.0
EntranceExam,34,0.6072874317056706,0.4186376317272612,0.0
EntranceExam,35,0.6033662224533557,0.42015506669233627,0.0
EntranceExam,36,0.6236101543007063,0.42617820984740135,0.0
EntranceExam,37,0.6245654552967895,0.36841903482653615,0.0
EntranceExam,38,0.5452791914848367,0.4743065702045598,0.0
EntranceExam,39,0.5247821238168686,0.47086316636539627,0.0
EntranceExam,40,0.6309275237022554,0.34458783384834224,0.0
EntranceExam,41,0.6370034868857776,0.4817893214900553,0.0
